,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.875
1,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.875
2,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
3,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8730159317502831,1.0,0.0,1.0,0.0,0.7103174786719635
4,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
5,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9969646765405937,1.0,1.0,1.0,1.0,0.9990514614189355
6,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8352622974844683,1.0,0.0,1.0,0.0,0.6985194679638964
7,18dbdfb5b9fe301f4,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
8,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.12038725866746573,1.0,0.0,1.0,1.0,0.600121018333583
9,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9493753896331251,1.0,1.0,1.0,1.0,0.9841798092603515
10,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9069753701762793,1.0,0.0,1.0,0.0,0.7209298031800873
11,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7732216998277914,1.0,1.0,1.0,0.0,0.8041317811961848
12,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8427110716360946,1.0,0.0,1.0,0.0,0.7008472098862796
13,530edf0e35aa025b6,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
14,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4495306633830308,1.0,1.0,1.0,0.0,0.7029783323071972
15,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.854965984499196,1.0,0.0,1.0,0.0,0.7046768701559988
16,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.838527306508179,1.0,0.0,1.0,0.0,0.699539783283806
17,0e55c21e09e86d8ba,True,,,,,,,,,,0.0,1.0,1.0,1.0,0.9615473281137211,0.0,1.0,1.0,1.0,0.0
18,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8685239684394758,1.0,0.0,1.0,0.0,0.7089137401373362
19,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8241192919261957,1.0,0.0,1.0,0.0,0.6950372787269361
20,46ccc7e9752595671,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.12869385100936423,1.0,0.0,1.0,1.0,0.6027168284404263
21,7be779b9f100e6373,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
22,778f661244251a842,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
23,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9842591763208128,1.0,1.0,1.0,1.0,0.995080992600254
24,197f2dea642850e7,True,1.0,1.0,1.0,1.0,0.43616816327599733,1.0,1.0,1.0,1.0,,,,,,,,,,0.8238025510237492
25,e1f6c044f4235462,True,1.0,1.0,1.0,1.0,0.4124861606121835,1.0,1.0,1.0,1.0,,,,,,,,,,0.8164019251913074
26,bbc7311ff7a7c3e18,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
27,86cf77209e00173f3,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
28,a43ef1df0d28a30db,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
29,053755e0b8f0dd052,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
30,256ffb5e85a521e98,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
31,c0581b1e56946d6c1,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
32,e3be3af3b3213f65e,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
33,50da2cb15a6c805e6,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
34,81742324c5b46cc6f,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875
35,7a574ea5511afe40d,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
36,2fb3e2d50e23c577b,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
37,0eea2180fbf7c0949,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875
38,7e1f129d7bf7e7065,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
39,4ff48fa4e19774be7,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9572892768091266,0.0,0.0,1.0,0.0,0.424152899002852
40,db81ab220d6667266,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
41,735bf126af1875fe2,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
42,d4bddc4246b475541,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9158628179035823,1.0,0.0,1.0,1.0,0.8487071305948695
43,1e33e12832b3a171e,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
44,38fd2f329eb063f83,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
45,230446b36041db9de,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
46,ceb646b2fba95ebf9,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8193759529601488,1.0,0.0,1.0,1.0,0.8185549853000464
47,594f782a45aefdedc,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
48,697882c22eb65ca7,True,1.0,1.0,1.0,1.0,0.7253964711265382,1.0,1.0,1.0,0.0,,,,,,,,,,0.7891863972270432
49,43162b00fe4550b8,True,1.0,0.0,1.0,1.0,0.8933003862902229,0.0,0.0,1.0,0.0,,,,,,,,,,0.0
50,77591ae74db6e241c,True,,,,,,,,,,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
51,523e6115068b06a33,True,,,,,,,,,,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21875
52,2e5eb89b3ec98ed08,True,,,,,,,,,,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
53,3428d82c17d7e5501,True,,,,,,,,,,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
54,76e0516677156bad8,True,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
55,428b6ffe51af1390c,True,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
