,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,6370add5182e51b7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0b5b1309df2f5627,True,1.0,1.0,1.0,1.0,0.7393145707558734,1.0,1.0,1.0,1.0,0.9185358033612104
2,901722c88ebf50ea,True,1.0,1.0,1.0,1.0,0.7509356029187144,1.0,1.0,1.0,1.0,0.9221673759120983
3,ff5e13b14d735e52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,e8f5c2714bfe5213,True,1.0,1.0,1.0,1.0,0.9510234745491494,1.0,1.0,1.0,1.0,0.9846948357966092
5,5d3e45ad38ef5b9c,True,1.0,1.0,1.0,1.0,0.9288545258011919,1.0,1.0,1.0,,0.9745909020718543
6,91ae20bf459859fe,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,93c36f72811852d3,True,1.0,1.0,1.0,1.0,0.9297754500531964,1.0,1.0,1.0,1.0,0.9780548281416239
8,ed98a4566ea95092,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,974a70027f8f593c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,5a4709a2348f58a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,661cdcf44ebe5c68,True,1.0,1.0,1.0,1.0,0.9215263962920178,1.0,1.0,1.0,1.0,0.9754769988412555
12,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
13,2a8b9c88615450a8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.8156911901972805,1.0,1.0,1.0,1.0,0.8174034969366502
15,24d02c4c2a325f01,True,1.0,1.0,1.0,1.0,0.9108680527460595,1.0,1.0,1.0,1.0,0.9721462664831436
16,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.7566095360135221,1.0,1.0,1.0,1.0,0.9239404800042257
17,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,d5407856a57357ce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,23d70775af9754e8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
22,453bdd4f77af5c90,True,1.0,1.0,1.0,1.0,0.6144835781954701,1.0,1.0,1.0,1.0,0.8795261181860844
23,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,2c67391395c65d6a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.8546248799648472,1.0,1.0,1.0,1.0,0.9545702749890148
27,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,5997813b7cc55036,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,2e21fba9a22851ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,0.9315327165045059,1.0,1.0,1.0,,0.9755473987516092
31,6884907db45c5cad,True,1.0,1.0,1.0,1.0,0.9630622227498228,1.0,1.0,1.0,1.0,0.9884569446093197
32,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,45e8b10f95925c47,True,1.0,1.0,1.0,1.0,0.9654303736817819,1.0,1.0,1.0,1.0,0.9891969917755568
34,808e5edcddce51c3,True,1.0,1.0,1.0,1.0,0.7857156881764803,1.0,1.0,1.0,1.0,0.93303615255515
35,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,0.9445552147724857,1.0,1.0,1.0,1.0,0.9826735046164018
36,435eadb0f1fe5b49,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
37,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,0.9568463514863653,1.0,1.0,1.0,1.0,0.9865144848394891
38,5ee6f86b7dec5484,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.8102661066523175,1.0,1.0,1.0,1.0,0.9407081583288492
40,6894aab92b0058dd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
42,431ae29947e95c26,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
43,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,135ae32b6edc55c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.9342826909668974,1.0,1.0,1.0,,0.9765295324881775
46,f10d0ad9103c5495,True,1.0,1.0,1.0,1.0,0.9209173046884195,1.0,1.0,1.0,1.0,0.9752866577151311
47,ab2b84d310be5bed,True,1.0,1.0,1.0,1.0,0.7378924719398374,1.0,1.0,1.0,1.0,0.9180913974811992
48,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.8594460256272277,1.0,1.0,1.0,,0.9498021520097242
49,a371624958cb52ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
50,e917a198bd9757a4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
52,d6fc32608ecc581c,True,1.0,1.0,1.0,1.0,0.8492533322834642,1.0,1.0,1.0,1.0,0.9528916663385826
53,e96f254899095cf1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,260c9a75f6e05785,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.7302761993604945,1.0,1.0,1.0,1.0,0.9157113123001546
57,a25711b4fdcc50df,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,812464919a4f5362,True,1.0,1.0,1.0,1.0,0.8758351464656452,1.0,1.0,1.0,1.0,0.961198483270514
59,35f226ec4cac52fc,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
60,ac0fb7997f4e5106,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
61,c9b12b21fa7c57fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
62,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,31cda9ad4b8257b9,True,1.0,1.0,1.0,1.0,0.8443772874337223,1.0,1.0,1.0,1.0,0.9513679023230383
64,e805310ff3055efa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,f2280f25f98852c0,True,1.0,1.0,1.0,1.0,0.7356116814716439,1.0,1.0,1.0,1.0,0.9173786504598888
66,534431abbbd75d4f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,cddadd26002959f4,True,1.0,1.0,1.0,1.0,0.8134214637934798,1.0,1.0,1.0,1.0,0.9416942074354624
68,412e722526585e4a,True,1.0,1.0,1.0,1.0,0.8417629177956547,1.0,1.0,1.0,1.0,0.9505509118111422
69,3e5bb75bed1d58ad,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,52de85cf514f5afd,True,1.0,1.0,1.0,1.0,0.9573403425045744,1.0,1.0,1.0,0.0,0.8616688570326796
71,91defa409f0254d5,True,1.0,1.0,1.0,1.0,0.637635482087334,1.0,1.0,1.0,1.0,0.8867610881522918
72,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,0.8569438678272684,1.0,1.0,1.0,1.0,0.9552949586960213
73,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.8160749597298513,1.0,1.0,1.0,,0.7914553427606611
74,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.8354015508830799,1.0,1.0,1.0,1.0,0.9485629846509624
75,b9c8a72571a85792,True,1.0,1.0,1.0,1.0,0.936870092525094,1.0,1.0,1.0,1.0,0.9802719039140919
76,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
