,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,45e8b10f95925c47,True,1.0,1.0,1.0,1.0,0.9109926938126087,1.0,1.0,1.0,0.0,0.8471852168164402
2,808e5edcddce51c3,True,1.0,1.0,1.0,1.0,0.8532535999174207,1.0,1.0,1.0,1.0,0.954141749974194
3,534431abbbd75d4f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
4,ac0fb7997f4e5106,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
5,91defa409f0254d5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
7,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,0.9004613646603564,1.0,1.0,1.0,1.0,0.9688941764563614
8,ab2b84d310be5bed,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5625
9,2a8b9c88615450a8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,6370add5182e51b7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,31cda9ad4b8257b9,True,1.0,1.0,1.0,1.0,0.9053129120802963,1.0,1.0,1.0,1.0,0.9704102850250926
12,e8f5c2714bfe5213,True,1.0,1.0,1.0,1.0,0.9038992801193916,1.0,1.0,1.0,0.0,0.8449685250373098
13,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.9552962831641849,1.0,1.0,1.0,0.0,0.8610300884888078
14,e805310ff3055efa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,135ae32b6edc55c5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
17,f10d0ad9103c5495,True,1.0,1.0,1.0,1.0,0.8540475125685242,1.0,1.0,1.0,0.0,0.8293898476776638
18,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,0.9038399805359806,1.0,1.0,1.0,0.0,0.8449499939174939
19,52de85cf514f5afd,True,1.0,1.0,1.0,1.0,0.9154756329842461,1.0,1.0,1.0,0.0,0.8485861353075769
20,2c67391395c65d6a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
21,2e21fba9a22851ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.988344147223306,1.0,1.0,1.0,0.0,0.8713575460072831
23,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,0.9531484116720237,1.0,1.0,1.0,,0.9832672898828656
24,b9c8a72571a85792,True,1.0,1.0,1.0,1.0,0.8829508561244457,1.0,1.0,1.0,0.0,0.8384221425388892
25,4b594a8e80915943,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
26,260c9a75f6e05785,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
27,91ae20bf459859fe,True,1.0,1.0,1.0,1.0,0.8196049932261403,1.0,1.0,1.0,1.0,0.9436265603831688
28,5a4709a2348f58a7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
