,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.75
1,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.75
2,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4471975497846937,1.0,1.0,1.0,0.0,0.7022492343077168
3,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.36570390930725355,1.0,1.0,1.0,0.0,0.6767824716585167
4,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
5,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.29208602652555105,1.0,1.0,1.0,0.0,0.6537768832892347
6,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4073152457475301,1.0,1.0,1.0,0.0,0.6897860142961032
7,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
8,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8592675870057116,1.0,0.0,1.0,1.0,0.8310211209392848
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8657200142925499,1.0,0.0,1.0,1.0,0.8330375044664218
10,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.33417293886507743,1.0,1.0,1.0,0.0,0.6669290433953368
11,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
12,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
13,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625
14,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
15,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9570814513530188,1.0,0.0,1.0,0.0,0.7365879535478184
