,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,0.6045373911326388,1.0,1.0,1.0,0.0,0.7514179347289496
2,661cdcf44ebe5c68,True,1.0,1.0,1.0,1.0,0.848110333142095,1.0,1.0,1.0,0.0,0.8275344791069047
3,f587b097f5f65db6,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
4,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,91ae20bf459859fe,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
6,5997813b7cc55036,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
8,b9c8a72571a85792,True,1.0,1.0,1.0,1.0,0.9331366779325871,1.0,1.0,1.0,1.0,0.9791052118539335
9,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.9026911923863875,1.0,1.0,1.0,0.0,0.8445909976207461
10,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.9689982771077243,1.0,1.0,1.0,,0.8460708132527587
11,31cda9ad4b8257b9,True,1.0,1.0,1.0,1.0,0.8825005495284454,1.0,1.0,1.0,0.0,0.8382814217276392
12,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,0.9011414241670986,1.0,1.0,1.0,0.0,0.8441066950522182
13,e917a198bd9757a4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
14,3e5bb75bed1d58ad,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
15,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.6428571428571429
16,f2280f25f98852c0,True,1.0,1.0,1.0,1.0,0.8497808038409633,1.0,1.0,1.0,1.0,0.953056501200301
17,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.8873007000616626,1.0,1.0,1.0,0.0,0.8397814687692695
