,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.75
1,4a919f7ea2f65200,True,1.0,0.0,1.0,1.0,0.8743246909167751,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.35708200690676795,1.0,1.0,1.0,0.0,0.674088127158365
3,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.47393797894688416,1.0,1.0,1.0,0.0,0.7106056184209013
4,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6339188116026221,1.0,0.0,1.0,1.0,0.7605996286258194
5,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6247753792580093,1.0,0.0,1.0,1.0,0.7577423060181279
6,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
7,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
8,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6707633806289134,1.0,0.0,1.0,1.0,0.7721135564465355
9,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
10,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8202096226878285,1.0,0.0,1.0,0.0,0.6938155070899463
11,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.524716236616394,1.0,1.0,1.0,0.0,0.7264738239426232
12,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7035934637120456,1.0,0.0,1.0,1.0,0.7823729574100142
14,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6684087359465464,1.0,0.0,1.0,1.0,0.7713777299832958
15,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5744044317688493,1.0,1.0,1.0,0.0,0.7420013849277654
16,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4826183273445107,1.0,1.0,1.0,0.0,0.7133182272951596
17,bba03402f6222135f,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5625
18,46ccc7e9752595671,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8203132674119245,1.0,0.0,1.0,0.0,0.6938478960662264
19,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
20,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6665557104078629,1.0,0.0,1.0,1.0,0.7707986595024572
