,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,a371624958cb52ea,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
1,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.7654350529506152,1.0,1.0,1.0,1.0,0.9266984540470673
2,412e722526585e4a,True,1.0,1.0,1.0,1.0,0.834166184717552,1.0,1.0,1.0,0.0,0.823176932724235
3,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.7317505200922801,1.0,1.0,1.0,,0.9041966143186715
4,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2a8b9c88615450a8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
7,80ae73dfb4c45e8d,True,1.0,1.0,1.0,1.0,0.8660502842408829,1.0,1.0,1.0,0.0,0.833140713825276
8,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,435eadb0f1fe5b49,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,135ae32b6edc55c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
11,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.9782234357294924,1.0,1.0,1.0,0.0,0.7431948236654664
12,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,5d3e45ad38ef5b9c,True,1.0,1.0,1.0,1.0,0.8845819149529166,1.0,1.0,1.0,,0.9587792553403274
14,f10d0ad9103c5495,True,1.0,0.0,1.0,1.0,0.8658815167840793,1.0,1.0,1.0,0.0,0.0
15,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
16,ab2b84d310be5bed,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
18,6894aab92b0058dd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
20,e917a198bd9757a4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,d5407856a57357ce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,35f226ec4cac52fc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
