,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.75
1,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.75
2,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625
3,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
4,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3888786249039053,1.0,1.0,1.0,0.0,0.6840245702824704
5,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7291058841746642,1.0,0.0,1.0,1.0,0.7903455888045825
6,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5093135087700775,1.0,1.0,1.0,0.0,0.7216604714906492
7,46ccc7e9752595671,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
8,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625
9,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
10,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5353626165657325,1.0,1.0,1.0,0.0,0.7298008176767914
11,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
12,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
13,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
14,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
15,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
16,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5403131081375242,1.0,1.0,1.0,0.0,0.7313478462929763
17,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6186156443293984,1.0,1.0,1.0,0.0,0.755817388852937
18,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6796985225510237,1.0,0.0,1.0,1.0,0.7749057882971949
19,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5660197157859852,1.0,1.0,1.0,0.0,0.7393811611831204
20,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
21,bba03402f6222135f,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5625
22,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
23,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
24,e1f6c044f4235462,True,1.0,1.0,1.0,1.0,0.4603987857874095,1.0,1.0,1.0,0.0,,,,,,,,,,0.7063746205585655
25,197f2dea642850e7,True,1.0,1.0,1.0,1.0,0.4395967057820279,1.0,1.0,1.0,0.0,,,,,,,,,,0.6998739705568837
26,bbc7311ff7a7c3e18,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7233860492056069,1.0,1.0,1.0,1.0,0.9135581403767521
27,db81ab220d6667266,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8914599792102236,0.0,0.0,1.0,0.0,0.40358124350319485
28,256ffb5e85a521e98,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7132976281907346,1.0,0.0,1.0,1.0,0.7854055088096046
29,7a574ea5511afe40d,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6642733378008956,1.0,0.0,1.0,1.0,0.7700854180627799
