,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,260c9a75f6e05785,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,974a70027f8f593c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.9830847990990205,1.0,1.0,1.0,0.0,0.8697139997184439
4,661cdcf44ebe5c68,True,1.0,1.0,1.0,1.0,0.8646721456337003,1.0,1.0,1.0,0.0,0.8327100455105314
5,534431abbbd75d4f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
6,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
7,e805310ff3055efa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5d3e45ad38ef5b9c,True,1.0,1.0,1.0,1.0,0.8449462397525538,1.0,1.0,1.0,,0.9446236570544835
9,24d02c4c2a325f01,True,1.0,1.0,1.0,1.0,0.8647165763211123,1.0,1.0,1.0,0.0,0.8327239301003476
10,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.8771827598838098,1.0,1.0,1.0,0.0,0.8366196124636905
11,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,6884907db45c5cad,True,1.0,1.0,1.0,1.0,0.9282211566076151,1.0,1.0,1.0,0.0,0.8525691114398797
13,135ae32b6edc55c5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
14,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,0.879180290537045,1.0,1.0,1.0,0.0,0.8372438407928267
15,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
16,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.9752166350630574,1.0,1.0,1.0,,0.8482916553796633
17,5a4709a2348f58a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,cddadd26002959f4,True,1.0,1.0,1.0,1.0,0.9211357492573873,1.0,1.0,1.0,1.0,0.9753549216429336
19,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.8316680037320889,1.0,1.0,1.0,,0.9398814299043174
20,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.8385251375921225,1.0,1.0,1.0,0.0,0.8245391054975383
21,431ae29947e95c26,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
22,5ee6f86b7dec5484,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,e96f254899095cf1,True,1.0,1.0,1.0,1.0,0.8194362320541986,1.0,1.0,1.0,1.0,0.943573822516937
24,2087ff145dae502d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,6370add5182e51b7,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.9048977520287057,1.0,1.0,1.0,0.0,0.8452805475089705
28,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,0b5b1309df2f5627,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
30,45e8b10f95925c47,True,1.0,1.0,1.0,1.0,0.8986630001153822,1.0,1.0,1.0,0.0,0.8433321875360569
