,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.875
1,4a919f7ea2f65200,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0
2,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9088204262998165,1.0,0.0,1.0,0.0,0.7215063832186926
3,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.894248028651037,1.0,1.0,1.0,1.0,0.9669525089534491
4,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9039701041814112,1.0,0.0,1.0,1.0,0.844990657556691
5,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
6,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8848207910541291,1.0,0.0,1.0,0.0,0.7140064972044153
7,bba03402f6222135f,True,,,,,,,,,,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.28125
8,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8880319894396844,1.0,0.0,1.0,0.0,0.7150099966999014
9,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9167842180202365,1.0,1.0,1.0,0.0,0.8489950681313239
10,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.637872480447007,1.0,1.0,1.0,0.0,0.7618351501396896
11,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.92434403966804,1.0,0.0,1.0,1.0,0.8513575123962625
12,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
13,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8885519386229963,1.0,0.0,1.0,1.0,0.8401724808196863
14,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
